n,win_rate,avg_win_r,avg_loss_r,profit_factor,expectancy_r,total_r,max_dd_r,avg_bars,long_share,symbol,strategy,split
106,0.3868,1.292,-0.744,1.095,0.0434,4.6,22.68,21.0,0.387,DOGE,C1_BASE,TEST
301,0.495,1.442,-0.891,1.587,0.264,79.48,93.02,21.0,0.522,ADA,C1_SESSION_DEAD,ALL
164,0.5,1.51,-0.927,1.629,0.2916,47.81,60.14,21.0,0.591,ADA,C1_SESSION_DEAD,TRAIN
137,0.4891,1.359,-0.849,1.533,0.2311,31.66,50.63,21.0,0.438,ADA,C1_SESSION_DEAD,TEST
306,0.4673,1.435,-0.898,1.402,0.1924,58.88,76.11,21.0,0.507,ADA,C1_SESSION_FRI,ALL
168,0.4464,1.528,-0.913,1.35,0.1767,29.68,47.74,21.0,0.589,ADA,C1_SESSION_FRI,TRAIN
138,0.4928,1.332,-0.877,1.475,0.2116,29.2,47.05,21.0,0.406,ADA,C1_SESSION_FRI,TEST
247,0.4737,1.431,-0.898,1.434,0.2051,50.67,60.87,21.0,0.506,ADA,C1_SESSION_ALL,ALL
133,0.4737,1.513,-0.932,1.462,0.2264,30.12,41.18,21.0,0.602,ADA,C1_SESSION_ALL,TRAIN
114,0.4737,1.334,-0.858,1.399,0.1803,20.55,38.05,21.0,0.395,ADA,C1_SESSION_ALL,TEST
369,0.4878,1.442,-0.893,1.537,0.2458,90.71,111.73,21.0,0.518,ADA,C1_BASE,ALL
204,0.4706,1.517,-0.912,1.479,0.2312,47.16,66.95,21.0,0.578,ADA,C1_BASE,TRAIN
165,0.5091,1.356,-0.869,1.619,0.2639,43.54,61.89,21.0,0.442,ADA,C1_BASE,TEST
322,0.4379,1.588,-0.895,1.383,0.1924,61.96,67.28,20.9,0.655,LINK,C1_SESSION_DEAD,ALL
190,0.4316,1.582,-0.904,1.328,0.1686,32.04,40.33,21.0,0.621,LINK,C1_SESSION_DEAD,TRAIN
132,0.447,1.598,-0.881,1.465,0.2267,29.93,32.02,20.7,0.705,LINK,C1_SESSION_DEAD,TEST
339,0.4218,1.613,-0.881,1.336,0.1713,58.06,64.21,20.9,0.631,LINK,C1_SESSION_FRI,ALL
206,0.4126,1.646,-0.893,1.295,0.1546,31.84,52.05,21.0,0.592,LINK,C1_SESSION_FRI,TRAIN
133,0.4361,1.565,-0.861,1.406,0.1971,26.22,30.16,20.7,0.692,LINK,C1_SESSION_FRI,TEST
272,0.4191,1.586,-0.882,1.297,0.152,41.34,49.44,20.9,0.647,LINK,C1_SESSION_ALL,ALL
162,0.4198,1.599,-0.886,1.305,0.157,25.44,41.07,21.0,0.623,LINK,C1_SESSION_ALL,TRAIN
110,0.4182,1.566,-0.877,1.283,0.1446,15.9,21.19,20.6,0.682,LINK,C1_SESSION_ALL,TEST
400,0.4425,1.624,-0.888,1.451,0.2234,89.34,94.81,20.9,0.635,LINK,C1_BASE,ALL
240,0.4292,1.636,-0.907,1.357,0.1847,44.33,53.78,21.0,0.588,LINK,C1_BASE,TRAIN
160,0.4625,1.607,-0.859,1.609,0.2813,45.01,48.13,20.7,0.706,LINK,C1_BASE,TEST
297,0.5354,1.377,-0.898,1.767,0.32,95.05,103.26,20.8,0.508,AVAX,C1_SESSION_DEAD,ALL
166,0.6145,1.479,-0.943,2.5,0.5454,90.53,92.86,21.0,0.452,AVAX,C1_SESSION_DEAD,TRAIN
131,0.4351,1.195,-0.859,1.071,0.0345,4.52,19.28,20.5,0.58,AVAX,C1_SESSION_DEAD,TEST
306,0.5196,1.419,-0.917,1.673,0.2966,90.76,101.43,20.8,0.49,AVAX,C1_SESSION_FRI,ALL
177,0.5932,1.514,-0.955,2.313,0.5099,90.25,95.01,21.0,0.412,AVAX,C1_SESSION_FRI,TRAIN
129,0.4186,1.233,-0.881,1.008,0.004,0.51,20.66,20.4,0.597,AVAX,C1_SESSION_FRI,TEST
252,0.5278,1.445,-0.9,1.794,0.3376,85.08,93.42,20.8,0.496,AVAX,C1_SESSION_ALL,ALL
140,0.6143,1.544,-0.942,2.611,0.5853,81.94,84.27,21.0,0.429,AVAX,C1_SESSION_ALL,TRAIN
112,0.4196,1.263,-0.865,1.056,0.028,3.14,18.58,20.4,0.58,AVAX,C1_SESSION_ALL,TEST
364,0.5247,1.375,-0.913,1.663,0.2874,104.63,117.4,20.8,0.503,AVAX,C1_BASE,ALL
210,0.6,1.47,-0.956,2.307,0.4998,104.96,109.73,21.0,0.438,AVAX,C1_BASE,TRAIN
154,0.4221,1.189,-0.872,0.996,-0.0022,-0.33,23.42,20.5,0.591,AVAX,C1_BASE,TEST
288,0.3785,1.351,-0.907,0.907,-0.0523,-15.06,42.9,20.9,0.587,LTC,C1_SESSION_DEAD,ALL
170,0.3765,1.331,-0.916,0.877,-0.0701,-11.92,32.58,21.0,0.676,LTC,C1_SESSION_DEAD,TRAIN
118,0.3814,1.381,-0.894,0.952,-0.0266,-3.14,34.41,20.7,0.458,LTC,C1_SESSION_DEAD,TEST
292,0.3836,1.32,-0.887,0.926,-0.0406,-11.86,36.42,20.8,0.545,LTC,C1_SESSION_FRI,ALL
178,0.3539,1.264,-0.89,0.778,-0.1275,-22.69,36.42,21.0,0.624,LTC,C1_SESSION_FRI,TRAIN
114,0.4298,1.393,-0.883,1.189,0.095,10.83,28.86,20.6,0.421,LTC,C1_SESSION_FRI,TEST
234,0.3846,1.326,-0.89,0.932,-0.0375,-8.77,31.68,20.8,0.543,LTC,C1_SESSION_ALL,ALL
139,0.3741,1.269,-0.901,0.842,-0.0894,-12.42,28.92,21.0,0.655,LTC,C1_SESSION_ALL,TRAIN
95,0.4,1.404,-0.872,1.074,0.0385,3.66,27.91,20.6,0.379,LTC,C1_SESSION_ALL,TEST
355,0.3746,1.331,-0.895,0.891,-0.061,-21.64,51.05,20.9,0.583,LTC,C1_BASE,ALL
213,0.3568,1.308,-0.9,0.807,-0.1119,-23.84,41.74,21.0,0.648,LTC,C1_BASE,TRAIN
142,0.4014,1.361,-0.887,1.029,0.0154,2.19,37.71,20.6,0.486,LTC,C1_BASE,TEST
