n,win_rate,avg_win_r,avg_loss_r,profit_factor,expectancy_r,total_r,max_dd_r,avg_bars,long_share,symbol,strategy,split,funding_p8h,bh_return,max_dd_pct,final_equity
108,0.4259,1.321,-1.026,0.955,-0.0263,-2.84,22.87,24.9,0.713,XRP/USDT:USDT,C2_MTF_BASE,TEST,6.6e-05,1.9702,0.2075,9637.84
278,0.5036,1.546,-0.842,1.863,0.3606,100.26,113.28,21.0,0.529,DOGE/USDT:USDT,C1_BOS_H4v2,ALL,7.3e-05,0.2785,0.1322,26578.13
172,0.5756,1.651,-0.929,2.41,0.5561,95.66,104.42,21.0,0.616,DOGE/USDT:USDT,C1_BOS_H4v2,TRAIN,7.3e-05,0.2785,0.093,25553.53
106,0.3868,1.292,-0.744,1.095,0.0434,4.6,22.68,21.0,0.387,DOGE/USDT:USDT,C1_BOS_H4v2,TEST,7.3e-05,0.2785,0.1217,10400.96
64,0.25,1.022,-1.011,0.337,-0.5026,-32.16,33.23,25.0,0.547,DOGE/USDT:USDT,C2_MTF_SWEEP,ALL,7.3e-05,0.2785,0.2848,7222.49
42,0.3571,0.998,-0.973,0.57,-0.2692,-11.31,12.37,25.0,0.452,DOGE/USDT:USDT,C2_MTF_SWEEP,TRAIN,7.3e-05,0.2785,0.1178,8909.04
22,0.0455,1.382,-1.059,0.062,-0.9481,-20.86,19.81,25.0,0.727,DOGE/USDT:USDT,C2_MTF_SWEEP,TEST,7.3e-05,0.2785,0.1807,8106.92
344,0.5494,1.111,-0.933,1.453,0.1903,65.48,70.81,25.0,0.459,DOGE/USDT:USDT,C2_MTF_BASE,ALL,7.3e-05,0.2785,0.2033,18807.25
206,0.5777,1.112,-0.881,1.726,0.2703,55.68,63.31,25.0,0.432,DOGE/USDT:USDT,C2_MTF_BASE,TRAIN,7.3e-05,0.2785,0.102,17212.43
138,0.5072,1.11,-0.998,1.144,0.071,9.8,30.03,25.0,0.5,DOGE/USDT:USDT,C2_MTF_BASE,TEST,7.3e-05,0.2785,0.1758,10926.55
