market,symbol,base_asset,setup,validation_status,in_fixed_research_cohort,narratives,quote_volume_24h,asof_utc,status,signal,eligible,side,signal_candle_open_utc,signal_candle_close_utc,model_next_open_utc,signal_age_seconds,execution_interval,close,atr,daily_liquidity,htf_close,htf_ema50,htf_ema200,trend,daily_roc20,btc_roc20,reason,sleeve_equity_usdt,sleeve_drawdown_pct,risk_budget_usdt,available_sleeve_risk_usdt,account_state,quantity,quantity_text,size_status,reference_entry,reference_stop,reference_target,reference_notional_usdt,reference_margin_usdt,estimated_initial_risk_usdt,capacity_reserved,setup_backtest_status,setup_failed_checks
spot,ADAUSDT,ADA,SPOT_D1_H4_BREAKOUT,EXPANDED_UNVALIDATED,True,,28554459.03626,2026-09-06T23:45:01+00:00,FILTERED_OUT,0,False,none,2026-09-06T16:00:00+00:00,2026-09-06T19:59:59+00:00,2026-09-06T20:00:00+00:00,13568.053,4h,0.2191,0.005180060120303143,21134699.817369998,0.2183,0.19478136054584433,0.24331598001739646,0,0.24814179531160652,0.2691852146263911,Trend / relative-strength / confirmed liquidity filter not met,3000.0,0.0,20.0,37.5,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,sample_100
futures,ICPUSDT,ICP,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,34417827.608,2026-09-06T23:45:30+00:00,WATCH,0,True,long,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,2.703,0.037334559185740815,20731379.107,2.672,2.5280887554852702,2.3765764259740543,1,0.18157661647475654,,Filters pass; no trigger on latest closed candle,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,GIGGLEUSDT,GIGGLE,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,25373336.9358,2026-09-06T23:45:30+00:00,FILTERED_OUT,0,False,none,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,38.53,0.6918221040488811,19761839.9897,38.72,38.7982552716032,35.86990385827207,0,0.29165344335131715,,Trend / relative-strength / confirmed liquidity filter not met,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,COTIUSDT,COTI,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,85367838.8866803,2026-09-06T23:45:30+00:00,FILTERED_OUT,0,False,none,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.01688,0.0008218848247147838,19679284.1738291,0.017423,0.014165592209217742,0.012354591508402315,1,0.5020431990659662,,Trend / relative-strength / confirmed liquidity filter not met,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,OPUSDT,OP,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,62721815.335832,2026-09-06T23:45:30+00:00,FILTERED_OUT,0,False,none,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.10914,0.0021332994973813006,19536130.1152175,0.1094,0.09986540716858287,0.09579705965296734,1,0.29063625450180064,,Trend / relative-strength / confirmed liquidity filter not met,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,ETCUSDT,ETC,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,19338424.157,2026-09-06T23:45:30+00:00,FILTERED_OUT,0,False,none,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,7.797,0.07086336853652733,19005490.198365,7.695,7.526803264008942,7.201531553995434,1,0.26626249385548095,,Trend / relative-strength / confirmed liquidity filter not met,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,HBARUSDT,HBAR,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,18564610.28086,2026-09-06T23:45:30+00:00,FILTERED_OUT,0,False,none,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.08116,0.000657350373334421,18389291.384565,0.08049,0.07770459930996906,0.07415419751403571,1,0.24086687306501542,,Trend / relative-strength / confirmed liquidity filter not met,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
futures,POLUSDT,POL,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,17576263.78856,2026-09-06T23:45:30+00:00,FILTERED_OUT,0,False,none,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.09773,0.0010566075798864715,17923762.47342,0.09739,0.09645233034612027,0.09177698390231873,1,0.3081550802139037,,Trend / relative-strength / confirmed liquidity filter not met,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
spot,WLDUSDT,WLD,SPOT_D1_H4_BREAKOUT,EXPANDED_UNVALIDATED,False,,22634875.23784,2026-09-06T23:45:01+00:00,FILTERED_OUT,0,False,none,2026-09-06T16:00:00+00:00,2026-09-06T19:59:59+00:00,2026-09-06T20:00:00+00:00,13568.053,4h,0.4133,0.011611535876561357,17116725.477885,0.3974,0.37194490239274974,0.4199365017332332,0,0.11691961776278803,0.2691852146263911,Trend / relative-strength / confirmed liquidity filter not met,3000.0,0.0,20.0,37.5,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,sample_100
futures,CHIPUSDT,CHIP,FUTURES_H4_H1_PULLBACK,EXPANDED_UNVALIDATED,False,,24555309.51199,2026-09-06T23:45:30+00:00,FILTERED_OUT,0,False,none,2026-09-06T22:00:00+00:00,2026-09-06T22:59:59+00:00,2026-09-06T23:00:00+00:00,2768.053,1h,0.05803,0.001503370401002922,17059944.76755,0.05776,0.04952922116203228,0.03749857713633901,1,1.1175627240143369,,Trend / relative-strength / confirmed liquidity filter not met,1000.0,0.0,12.5,20.0,DEFAULT_EMPTY_HYPOTHETICAL,0.0,0,NO_SIGNAL,,,,0.0,0.0,0.0,False,FAILED,net_profit;profit_factor;drawdown_15;double_cost_profit
