market,period,stop_atr,reward_r,trades,net_pnl,end_equity,return_pct,max_drawdown_pct,adverse_bar_drawdown_pct,profit_factor,win_rate_pct,mean_r,fees,funding,max_losing_streak,longest_underwater_days,sharpe_daily,exposure_pct,reconciliation_error
spot,validation,2.0,3.0,101,488.7862456779585,3488.7862456779585,16.29287485593196,16.341535226824732,17.146296095278522,1.369233688724206,34.65346534653465,0.24563604829881405,91.11249063817074,0.0,10,271.1666666666667,1.1032029321650472,63.52459016393443,2.5011104298755527e-12
spot,validation,2.0,4.0,86,186.21963511187187,3186.219635111872,6.20732117039573,18.737360982187255,19.116901921846285,1.151122181639311,26.744186046511626,0.1292408913460256,75.7765747978809,0.0,13,274.0,0.46777807595387233,67.21311475409836,8.526512829121202e-13
spot,validation,2.5,2.0,100,356.12738915619275,3356.1273891561927,11.870912971873082,10.197340592422744,10.544379848135488,1.3054293412862716,43.0,0.1779516841426598,75.5596123928541,0.0,7,232.16666666666666,0.9916321279788266,62.841530054644814,4.547473508864641e-13
spot,validation,2.5,3.0,88,209.0528840905813,3209.0528840905813,6.968429469686033,14.377763880997152,14.708648036223959,1.1752623488248146,31.818181818181817,0.13101497324681938,63.680612626803416,0.0,13,238.0,0.5967081233018984,66.12021857923497,6.821210263296962e-13
spot,validation,2.5,4.0,80,175.9903170892835,3175.9903170892835,5.866343902976112,14.929810266035105,15.258561057196228,1.156783583581555,28.749999999999996,0.12874776891300668,58.9637471388593,0.0,13,261.8333333333333,0.4956530299419961,66.02914389799636,-1.0800249583553523e-12
futures,development,1.5,2.0,941,-728.9871350865891,271.0128649134109,-72.89871350865891,79.26199450369654,79.31560062562352,0.8262935941072863,33.156216790648244,-0.10369035520184146,349.1592894876583,12.611682202532151,16,705.7916666666666,-1.819516465573614,59.486301369863014,7.958078640513122e-13
futures,development,1.5,3.0,730,-437.3500027360433,562.6499972639567,-43.73500027360433,62.254210788389074,62.29360576311345,0.9073025412938597,27.945205479452056,-0.042297577811441466,373.60304605390735,22.183085172299933,21,539.75,-0.637503457949924,65.51940639269407,1.9326762412674725e-12
futures,development,1.5,4.0,645,-434.66817369335627,565.3318263066437,-43.46681736933563,59.186974545749,59.72333479473134,0.8998400281520201,24.8062015503876,-0.04114905928246209,340.0502639965574,24.82917814509488,20,561.125,-0.5982392879168761,68.34474885844749,-5.115907697472721e-13
futures,development,2.0,2.0,603,-367.498654906203,632.501345093797,-36.7498654906203,53.508399658871106,54.44864289638801,0.9035206156250055,35.65505804311774,-0.04827400269278971,262.81262255494727,11.569827923672884,17,560.75,-0.6948763824602142,68.31621004566209,-5.684341886080802e-14
futures,development,2.0,3.0,497,16.455240212844274,1016.4552402128443,1.6455240212844169,38.35282815323574,38.44648861296675,1.0040163633591541,31.790744466800803,0.022058392019708405,281.73171867798953,18.352132258434306,17,561.125,0.17525602402617085,71.95776255707761,-1.900701818158268e-12
futures,development,2.0,4.0,452,-299.50462217555526,700.4953778244447,-29.95046221755553,45.798157804185365,46.13541235421982,0.9108923456979243,28.097345132743364,-0.04199673906877164,217.69271898520768,21.847315641192147,16,561.125,-0.4320812418080918,74.72602739726028,1.7053025658242404e-12
futures,development,2.5,2.0,482,-189.62663212157042,810.3733678784296,-18.96266321215704,36.364977292345266,36.49603669243244,0.9405538487255819,37.75933609958506,-0.023702270573328334,199.06219589492127,13.187309579517834,12,561.1666666666666,-0.3352845795149847,73.79566210045661,3.694822225952521e-13
futures,development,2.5,3.0,410,-41.48564940709832,958.5143505929017,-4.148564940709831,33.44276166006092,34.41412596800527,0.9858658637880717,34.63414634146341,0.013574924272051977,177.90369671852466,14.967576540863895,13,561.125,0.040158071554522036,76.18721461187215,1.7053025658242404e-13
futures,development,2.5,4.0,374,-111.66851871371637,888.3314812862836,-11.166851871371641,33.69618664094509,36.52000124852313,0.9608420690957328,32.0855614973262,0.002134200164108989,170.32522077700645,14.867488137217032,13,561.125,-0.1046825283645546,77.91095890410958,-7.105427357601002e-14
futures,validation,1.5,2.0,469,-69.02919629023836,930.9708037097616,-6.90291962902384,24.229143204858993,24.275198671848173,0.9793116992482285,36.46055437100213,0.0019300552200232095,297.9535190875181,12.723904204757806,9,114.33333333333333,-0.030648850758671936,66.96265938069217,-7.673861546209082e-13
futures,validation,1.5,3.0,357,120.8859274340848,1120.8859274340848,12.088592743408476,31.42328183126224,31.492903298172482,1.0407366669047489,29.69187675070028,0.051302511652344084,242.1886149967482,13.649769588767484,14,146.0,0.4903893373034118,72.99635701275045,-8.384404281969182e-13
futures,validation,1.5,4.0,309,-57.509451535000835,942.4905484649992,-5.750945153500087,27.33593250039268,27.40970358635425,0.9790395568761034,25.5663430420712,0.02163541788133504,210.5329326715727,14.222411118920542,15,251.54166666666666,0.02520052668259692,76.50273224043715,-1.2789769243681803e-13
futures,validation,2.0,2.0,319,-11.579622935367865,988.4203770646321,-1.157962293536785,19.7428762975405,19.90124910627282,0.9954289809151466,36.36363636363637,0.010310717016373585,178.4668794938693,10.707772768236826,12,148.20833333333334,0.10709603947572861,75.09107468123861,-3.225864020350855e-12
futures,validation,2.0,3.0,279,-60.84903347213026,939.1509665278697,-6.084903347213022,22.920660720683173,23.03864613807822,0.9749072549066465,30.824372759856633,0.005696390748180566,159.83900663189706,11.363114304445055,11,261.5,-0.05309132552986555,78.87067395264117,-5.542233338928781e-13
futures,validation,2.0,4.0,252,-13.76323319853475,986.2367668014653,-1.3763233198534786,27.899990141928388,28.042266372922963,0.9943820301262365,28.174603174603174,0.01827104582747129,153.60158956740952,13.962735119901422,14,148.20833333333334,0.12651813479666255,80.44171220400729,-3.325340003357269e-12
futures,validation,2.5,2.0,252,21.274801419727055,1021.274801419727,2.127480141972704,23.926330863379096,24.22674272945118,1.0115783935213856,39.285714285714285,0.01923885777804865,114.20254233443293,6.723850248496021,11,148.20833333333334,0.20913301010860075,81.10200364298726,-1.6200374375330284e-12
futures,validation,2.5,3.0,217,20.76409943594649,1020.7640994359465,2.0764099435946592,26.914909625916916,27.689640569493545,1.011495938298984,35.02304147465438,0.027057534124900195,107.09527794675961,8.705086775101881,10,261.5,0.21013156946309255,82.14936247723132,4.831690603168681e-13
futures,validation,2.5,4.0,210,80.87334168865232,1080.8733416886523,8.087334168865222,19.314032232689748,19.98505819337598,1.0473180985207884,34.76190476190476,0.054513122098560324,98.2622730222161,11.544059672468292,11,261.5,0.41092355749934584,83.70901639344262,-2.3732127374387346e-12
