strategy,symbol,direction,entry_time,exit_time,entry_px,exit_px,reason,atr_pct,notional,gross_usd,funding_usd,fee_usd,net_usd,equity_after
KELT,AAVEUSDT,-1,1785974400000,1786219200000,88.6,91.77714285714285,TRAIL,1.793,310.7,-11.14,0.1,0.31,-11.36,1810.56
KELT,BUSDT,-1,1786219200000,1786363200000,0.1533,0.1533,TRAIL,3.168,171.43,-0.0,0.04,0.17,-0.13,1810.43
KELT,ICPUSDT,1,1786377600000,1786464000000,2.327,2.2215714285714285,TRAIL,2.265,239.76,-10.86,-0.04,0.24,-11.14,1799.29
KELT,PAXGUSDT,1,1786046400000,1787140800000,4246.6,4478.234285714286,TP,0.909,605.9,33.05,0.12,0.61,32.57,1831.86
DON,SUIUSDT,-1,1784894400000,1787140800000,0.7177,0.6839714285714286,TRAIL,1.741,414.68,19.49,0.85,0.41,19.93,1851.79
DON,XLMUSDT,-1,1785182400000,1787140800000,0.17189,0.16435285714285713,TRAIL,1.749,405.39,17.78,-1.11,0.41,16.26,1868.05
DON,1000BONKUSDT,-1,1786104000000,1787140800000,0.002447,0.002447,TRAIL,3.223,212.01,-0.0,-0.55,0.21,-0.76,1867.29
DON,LINKUSDT,1,1787140800000,1787169600000,9.916,10.183142857142858,TRAIL,1.792,387.47,10.44,-0.03,0.39,10.03,1877.32
KELT,ZORAUSDT,-1,1786003200000,1787241600000,0.005228,0.005228,TRAIL,3.272,169.42,-0.0,-0.0,0.17,-0.17,1877.14
KELT,ZORAUSDT,1,1787241600000,1787270400000,0.005337,0.00551425,TRAIL,2.418,232.86,7.73,-0.01,0.23,7.49,1884.63
DON,LINKUSDT,1,1787169600000,1787284800000,10.549,10.923142857142857,TRAIL,2.206,319.12,11.32,-0.01,0.32,10.99,1895.62
KELT,AAVEUSDT,1,1787140800000,1787284800000,92.87,103.18142857142858,TP,1.851,300.21,33.33,-0.12,0.3,32.92,1928.53
DON,ZECUSDT,1,1787140800000,1787284800000,550.46,629.7950000000001,TP,2.059,340.23,49.04,-0.07,0.34,48.63,1977.16
KELT,ZORAUSDT,1,1787270400000,1787313600000,0.005742,0.0067714285714285715,TP,2.988,189.22,33.92,-0.01,0.19,33.72,2010.88
KELT,AAVEUSDT,1,1787284800000,1787342400000,105.82,121.60857142857142,TP,2.487,232.66,34.71,-0.05,0.23,34.43,2045.32
DON,HYPEUSDT,1,1787155200000,1787356800000,70.266,75.55071428571428,TRAIL,2.539,275.79,20.74,-0.14,0.28,20.32,2065.64
DON,ZECUSDT,1,1787284800000,1787356800000,637.6,799.6000000000001,TP,3.63,204.27,51.9,-0.06,0.2,51.63,2117.27
DON,HYPEUSDT,1,1787356800000,1787371200000,82.208,75.27414285714286,TRAIL,4.217,183.68,-15.49,0.0,0.18,-15.68,2101.6
DON,LINKUSDT,1,1787284800000,1787371200000,11.541,11.541,TRAIL,3.062,232.17,0.0,-0.07,0.23,-0.3,2101.3
KELT,AAVEUSDT,1,1787342400000,1787371200000,122.78,114.47,TRAIL,3.423,179.25,-12.13,-0.02,0.18,-12.33,2088.97
DON,ZECUSDT,1,1787356800000,1787371200000,836.4,757.2628571428571,TRAIL,4.731,167.83,-15.88,0.0,0.17,-16.05,2072.92
KELT,ZORAUSDT,1,1787313600000,1787371200000,0.00684,0.006206714285714285,TRAIL,4.629,130.32,-12.07,-0.01,0.13,-12.21,2060.71
DON,TRUMPUSDT,1,1787371200000,1787400000000,2.845,2.370142857142857,TRAIL,8.345,93.15,-15.55,0.01,0.09,-15.63,2045.08
KELT,FARTCOINUSDT,1,1787371200000,1787428800000,0.1943,0.176475,TRAIL,7.047,87.72,-8.05,-0.03,0.09,-8.17,2036.91
KELT,XAUTUSDT,1,1787443200000,1787616000000,4580.54,4607.375,TRAIL,0.438,1396.23,8.18,-0.22,1.4,6.56,2043.48
DON,XPLUSDT,1,1787486400000,1787644800000,0.11021,0.09272571428571429,TRAIL,7.932,96.3,-15.28,-0.03,0.1,-15.4,2028.07
KELT,SOLUSDT,1,1787616000000,1787688000000,101.6,95.6842857142857,TRAIL,2.911,210.58,-12.26,-0.04,0.21,-12.51,2015.56
KELT,AAVEUSDT,1,1787371200000,1787688000000,122.91,126.0,TRAIL,4.498,139.32,3.5,-0.15,0.14,3.21,2018.77
DON,ENAUSDT,1,1787472000000,1787688000000,0.17607,0.17607,TRAIL,8.761,87.19,0.0,-0.03,0.09,-0.12,2018.65
KELT,PAXGUSDT,1,1787140800000,1787817600000,4483.63,4567.0275,TRAIL,0.769,714.67,13.29,-0.48,0.71,12.09,2030.75
KELT,SOLUSDT,1,1787817600000,1787918400000,103.91,103.91,TRAIL,2.476,246.05,0.0,-0.05,0.25,-0.29,2030.46
DON,FLOCKUSDT,1,1788134400000,1788148800000,0.04,0.04121142857142857,TRAIL,4.743,160.54,4.86,0.0,0.16,4.7,2035.16
DON,ZORAUSDT,1,1788134400000,1788163200000,0.009564,0.008992142857142858,TRAIL,5.873,129.64,-7.75,0.72,0.13,-7.16,2028.0
DON,USELESSUSDT,1,1788220800000,1788278400000,0.09524,0.10250285714285715,TRAIL,6.168,123.3,9.4,0.09,0.12,9.37,2037.37
KELT,DOTUSDT,-1,1787688000000,1788307200000,0.8511,0.889325,TRAIL,2.797,216.51,-9.72,0.03,0.22,-9.91,2027.47
DON,DASHUSDT,1,1788192000000,1788336000000,45.55,41.348571428571425,TRAIL,4.612,164.9,-15.21,-0.02,0.16,-15.4,2012.07
KELT,LTCUSDT,-1,1787918400000,1788408000000,48.55,48.55,TRAIL,1.851,329.12,-0.0,0.35,0.33,0.02,2012.09
DON,EDGEUSDT,1,1788408000000,1788422400000,0.542,0.49728571428571433,TRAIL,4.125,182.92,-15.09,-0.09,0.18,-15.36,1996.73
KELT,BUSDT,-1,1788408000000,1788422400000,0.1266,0.1319142857142857,TRAIL,2.099,287.6,-12.07,0.01,0.29,-12.35,1984.38
DON,USELESSUSDT,1,1788278400000,1788436800000,0.11616,0.18216500000000002,TP,8.117,94.12,53.48,0.0,0.09,53.39,2037.77
DON,EDGEUSDT,1,1788436800000,1788451200000,0.6689,0.5937285714285715,TRAIL,5.619,132.43,-14.88,-0.03,0.13,-15.05,2022.73
DON,USELESSUSDT,1,1788436800000,1788508800000,0.18718,0.2155342857142857,TRAIL,9.665,79.06,11.98,-0.01,0.08,11.89,2034.61
KELT,BTCUSDT,1,1788436800000,1788523200000,81316.7,79122.52857142857,TRAIL,1.349,441.25,-11.91,-0.11,0.44,-12.45,2022.16
DON,ASTERUSDT,1,1788508800000,1788523200000,0.7547,0.7144428571428572,TRAIL,2.667,284.4,-15.17,0.0,0.28,-15.45,2006.7
