strategy,market,period,trades,net_pnl,end_equity,return_pct,max_drawdown_pct,adverse_bar_drawdown_pct,profit_factor,win_rate_pct,mean_r,fees,funding,max_losing_streak,longest_underwater_days,sharpe_daily,exposure_pct,reconciliation_error
B,spot,holdout,33,50.00127343131544,3050.0012734313154,1.666709114377185,3.745583528772667,4.041368164726333,1.5254616470328937,24.242424242424242,0.28651501219767933,4.650055924760672,0.0,13,382.8333333333333,0.2358134202080985,34.56688596491228,8.526512829121202e-13
B,spot,full,116,767.3439371759246,3767.3439371759246,25.578131239197475,8.882663959123494,9.645288254544393,2.878311583712897,24.137931034482758,0.8188145052234412,18.86813014924325,0.0,18,382.8333333333333,0.678910161184297,45.16823161189358,2.8421709430404007e-12
B,spot,stress_later,33,42.961821749092906,3042.961821749093,1.4320607249697526,3.8522105469480317,4.1078711883331565,1.431063923639183,24.242424242424242,0.19239437481535815,9.286132635315724,0.0,13,382.8333333333333,0.20580083400416982,34.56688596491228,5.755396159656812e-13
B,spot,equal_size_later,33,50.00127343131544,3050.0012734313154,1.666709114377185,3.745583528772667,4.041368164726333,1.5254616470328937,24.242424242424242,0.28651501219767933,4.650055924760672,0.0,13,382.8333333333333,0.2358134202080985,34.56688596491228,8.526512829121202e-13
B,spot,gross_later,33,57.06186460807885,3057.061864608079,1.9020621536026239,3.6388471968710756,3.974789031829007,1.6295749560624622,24.242424242424242,0.40576366109573847,0.0,0.0,13,382.8333333333333,0.26595406868040034,34.56688596491228,1.0160761121369433e-12
B,spot,no_hard_stop_later,32,77.2825452291554,3077.2825452291554,2.5760848409718484,3.8612233820937147,4.635871264398473,1.7507611596881214,31.25,0.7882325944264996,4.677364505138891,0.0,8,382.8333333333333,0.3446904926760416,44.38048245614035,-8.526512829121202e-14
B_SAFE,spot,development,47,143.557240965662,3143.557240965662,4.785241365522075,4.914069606865656,5.605523288205827,1.8990807671444199,17.02127659574468,-0.22069482955471317,6.443707241913868,0.0,18,366.3333333333333,0.48785411177127125,40.821917808219176,1.4779288903810084e-12
B_SAFE,spot,validation,38,484.88429550153614,3484.884295501536,16.162809850051207,7.495938386753787,8.173754919077558,6.875816876385179,34.21052631578947,2.175610950398692,5.785374965172004,0.0,14,236.0,1.3842180409386589,61.338797814207645,2.2737367544323206e-13
B_SAFE,spot,holdout,33,43.5035083439825,3043.5035083439825,1.4501169447994178,3.5672774924660144,3.6899660055379924,1.6200711733557196,27.27272727272727,0.18441018237896722,4.1435511554034825,0.0,13,382.8333333333333,0.2260284159396784,34.56688596491228,8.881784197001252e-13
B_SAFE,spot,full,116,712.9181225896027,3712.9181225896027,23.763937419653413,7.467364971628642,8.139337947256886,3.2732707871956244,25.0,0.786712032751295,16.113647154359345,0.0,18,382.8333333333333,0.7243194160344248,45.11932707355243,2.7284841053187847e-12
