strategy,year,trades,net_pnl,end_equity,return_pct,max_drawdown_pct,adverse_bar_drawdown_pct,profit_factor,win_rate_pct,mean_r,fees,funding,max_losing_streak,longest_underwater_days,sharpe_daily,exposure_pct,reconciliation_error
B_REGIME,2025,13,7.908851046341624,3007.9088510463416,0.26362836821138824,6.984391631151654,7.3902434907126,1.0495950297414878,15.384615384615385,0.03267278051991134,9.318649357262503,0.0,8,172.16666666666666,0.07443574432060888,43.333333333333336,-2.184918912462308e-13
B_REGIME,2026,3,180.3329701509465,3180.3329701509465,6.011099005031539,1.9631672839165115,2.4319745706288587,,100.0,3.893588588007559,2.675655109400881,0.0,0,4.0,1.805145147084515,4.869684499314129,2.2737367544323206e-13
DON55,2022,148,122.51576295714472,1122.5157629571447,12.251576295714472,15.851449663835925,15.889900354725983,1.1861114514829239,32.432432432432435,0.12253330225908142,21.366982977321754,7.587894812785924,10,233.75,0.713862042846393,71.88356164383562,-3.353761712787673e-12
DON55,2023,170,62.53300772790635,1062.5330077279064,6.2533007727906265,25.23141236295251,25.690297465558988,1.0874313584744457,30.0,0.06302091586027493,30.559411848510923,4.435845512274921,15,351.625,0.41050442966759115,77.92237442922374,6.821210263296962e-13
DON55,2024,162,190.0931854196599,1190.09318541966,19.009318541965992,19.074465092300443,19.493595819044607,1.2996921029752022,33.33333333333333,0.1592659485862764,25.988147513069897,11.597296955061013,13,136.875,1.0895591695474527,70.0136612021858,-7.673861546209082e-13
DON55,2025,154,112.84851732226366,1112.8485173222637,11.284851732226375,13.865286047035552,14.068290877220091,1.1717193883277033,33.76623376623377,0.1073815282913093,24.813328793588617,3.350920881974072,11,159.29166666666666,0.6680206839820443,78.98401826484019,4.263256414560601e-14
DON55,2026,92,347.5903191438251,1347.5903191438251,34.75903191438252,9.175254237175201,9.296979417568863,1.995095018837755,41.30434782608695,0.4546959917821689,19.953289292196267,6.247512529639387,8,118.0,2.4140355690765287,84.63648834019205,3.240074875066057e-12
KELTNER,2022,286,143.0267049673846,1143.0267049673846,14.302670496738457,13.053990256556814,13.242813493802963,1.1520990981684782,34.96503496503497,0.0888235467262469,38.0933263514785,12.788295688966468,17,164.375,0.824223425683774,97.07762557077626,-2.5579538487363607e-12
KELTNER,2023,313,-75.23842490638481,924.7615750936152,-7.5238424906384775,24.278937610669782,24.34632863706785,0.9304665345986689,30.031948881789138,-0.031871857010892415,52.18434872058006,4.380741276556522,16,351.7083333333333,-0.31028369830787356,97.31735159817352,-7.702283255639486e-12
KELTNER,2024,310,73.93062229385941,1073.9306222938594,7.393062229385938,12.738124925692762,12.910135777127563,1.077175527980043,35.16129032258065,0.04944940651286988,40.183642017307946,12.805244624705786,13,215.58333333333334,0.45776092234234683,98.75910746812386,3.410605131648481e-13
KELTNER,2025,263,206.8268486471211,1206.826848647121,20.68268486471212,13.181065152834426,13.693322740140212,1.2236631421976727,37.26235741444867,0.1303200827198459,42.18095884219869,4.332699030217887,13,170.33333333333334,1.123460090122644,98.64155251141553,2.3021584638627246e-12
KELTNER,2026,191,-30.10078858885049,969.8992114111495,-3.010078858885046,24.72510878985731,24.83300855125239,0.9503923078322764,30.36649214659686,-0.014658519769268139,30.347515370360025,6.4561228981298004,20,201.54166666666666,-0.15217520469115411,96.55349794238684,-1.6768808563938364e-12
DON55_TREND,2022,89,128.35471004147416,1128.3547100414742,12.835471004147415,10.134822410917755,10.175885247430728,1.331090982401721,39.325842696629216,0.19982142916645865,12.272007442465195,4.103092110409117,7,200.91666666666666,0.8830535374502411,58.230593607305934,1.5063505998114124e-12
DON55_TREND,2023,116,53.1215157821523,1053.1215157821523,5.3121515782152295,10.834263300263736,10.937346554584316,1.1041509283042301,34.48275862068966,0.07067839187238595,19.739242284919637,4.338607580436848,12,215.5,0.4037139480480921,71.81506849315068,1.1510792319313623e-12
DON55_TREND,2024,116,135.3889542599336,1135.3889542599336,13.538895425993358,15.690896868056804,16.127551821368446,1.2599502373783047,31.03448275862069,0.16242946336225256,17.966189819927354,12.296174801970588,16,148.45833333333334,0.8355758203149618,63.2172131147541,-1.9895196601282805e-13
DON55_TREND,2025,114,18.445558938587965,1018.445558938588,1.8445558938587903,13.658215618576207,13.874756244319952,1.0368602595255962,33.33333333333333,0.03519920151407732,18.009238702985076,3.9364063732878347,11,291.0833333333333,0.19702842407595636,59.87442922374429,-6.217248937900877e-13
DON55_TREND,2026,47,150.10571836644203,1150.105718366442,15.010571836644203,7.941025552860859,7.972807925218506,1.8502897809668997,46.808510638297875,0.4205704091787619,9.357181601885443,1.340245193923094,7,117.91666666666667,1.386532073363879,73.73113854595336,-1.3073986337985843e-12
KELTNER_TREND,2022,140,163.47285061795264,1163.4728506179526,16.347285061795258,9.426551879199685,9.601036937939645,1.3738581523932565,36.42857142857142,0.1934606436608403,17.636796162637655,9.539300848857023,12,171.45833333333334,1.170909279427455,79.48630136986301,-2.0747847884194925e-12
KELTNER_TREND,2023,205,78.19225910273258,1078.1922591027326,7.819225910273264,10.994813495418764,12.749139543983912,1.114853437964231,34.146341463414636,0.07025311875101654,32.50365280912381,7.148066699622431,15,216.20833333333334,0.5483203258369265,93.66438356164383,-6.124878382252064e-12
KELTNER_TREND,2024,207,94.60460024869167,1094.6046002486917,9.460460024869178,9.246400316063951,9.400613388683665,1.142599097810953,33.81642512077295,0.0818222361833514,29.97426714437608,16.39816769259991,12,109.16666666666667,0.663808447556205,90.33469945355192,-8.526512829121202e-13
KELTNER_TREND,2025,174,93.03992948217024,1093.0399294821702,9.303992948217022,11.144462803030475,11.228462561890062,1.1607442145671234,35.63218390804598,0.09674698770387988,24.25537024707411,6.121049142251879,10,129.125,0.7054118287420256,92.88812785388127,2.3590018827235326e-12
KELTNER_TREND,2026,89,99.5048756808178,1099.5048756808178,9.95048756808179,13.19397941971614,13.221084942764383,1.3585041674825404,39.325842696629216,0.19242696021297032,15.586762670487023,2.5831231675695157,10,113.79166666666667,1.0173336233669164,79.4753086419753,-2.2026824808563106e-12
